donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"As a person, for the most part, outward bounder. armed with just a map and a compass, makes his mark on history by trekking remote landscapes. standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. he did just that when he hiked thousands of miles through national forests to reach untouched summits. whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6'4 (193cm),145 lbs (66kg),Brown,Light Brown,,Bachelor,Aviation,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.646044
"In general, outward bounder. armed with just a map and a compass, makes his mark on history by trekking remote landscapes. standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. he did just that when he hiked thousands of miles through national forests to reach untouched summits. whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6'1 (185cm),213,Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.646563
"By nature, as a person, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and has a fondness for hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",5'10 (178cm),134 lbs (61kg),Brown,Brown,,Master,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6471329
"For the most part, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored enotably inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.",6' (183cm),235 lbs (107kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6477
"Primarily, overall, may he have this dance?. a champion ballroom dancer, ’s competitive and enthusiastic nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors prefer acting and music. he is a free spirit who is ready to try just about anything – but excellent luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey",5'10 (178cm),164 lbs (74kg),Hazel,Brown,,Other,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.648267
"Primarily, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and favors spending quality time with them. he is particularly intelligent and was a collegiate athlete. he is emotionally intelligent and is particularly easy to talk to. he favors tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",197 lbs (89kg),Blue,Light Brown,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.648761
"Overall, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and is committed about spending quality time with them. he is particularly intelligent and was a collegiate athlete. he is emotionally intelligent and is particularly easy to talk to. he is committed about tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!",5'10 (178cm),146 lbs (66kg),Hazel,Dark Blond,,Other,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6495519
"As a person, primarily, primarily, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored eespecially inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.",6' (183cm),164 lbs (74kg),Brown,Brown,,Other,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.650383
"Overall, in general, characteristically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and is committed about hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.","6'1""",134 lbs (61kg),Blue,Light Brown,,Bachelor,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.651754
"In general, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and values spending quality time with them. he is quite intelligent and was a collegiate athlete. he is emotionally intelligent and is quite easy to talk to. he treasures tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",212,,Light Brown,,,"Business Administration, Mathematics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.652267
"Ready for Anything. Color us impressed. Bryce, Yellowstone, Zion National Park ? this avid outdoorsman has explored eespecially inch of them. Need a website built, advice on the best surfing spots or help rebuilding a truck engine? He’s your guy. This wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including Native American and Ashkenazi Jewish) to cheerfully tackle virtually any challenge you can imagine. Tall, fit, fun and outgoing, he’s into composing electronic and house music.",6'1 (185cm),145 lbs (66kg),Brown,Brown,,Other,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.652677
"For the most part, primarily, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and delights in hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",5'10 (178cm),212,Brown,Brown,,Bachelor,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.653277
"Primarily, in general, determined environmentalist",5'11 (180cm),235 lbs (107kg),Blue,Brown,,Other,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.65402
Determined Environmentalist,6' (183cm),174 lbs (79kg),Blue,Dark Blond,,Master,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6543202
"Characteristically, primarily, determined environmentalist",5'8 (173cm),174 lbs (79kg),Hazel,Dark Blond,,Master,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.654607
"Characteristically, in general, caring military man. this donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “i’ll never forget the handshake and ‘thank you’ that i received from both of those pilots,” he says. standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. helping people is his life's mission; he’s focused on psychology in college and hopes to become a counselor.. justin kirk michael muhney",5'8 (173cm),174 lbs (79kg),Blue,Dark Blond,,Bachelor,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.655031
"As a person, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and is committed about spending quality time with them. he is exceptionally intelligent and was a collegiate athlete. he is emotionally intelligent and is exceptionally easy to talk to. he adores tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!",5'8 (173cm),209,Blue,Dark Blond,,,,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.655401
"For the most part, caring military man. this donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “i’ll never forget the handshake and ‘thank you’ that i received from both of those pilots,” he says. standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. helping people is his life's mission; he’s specializing in psychology in college and hopes to become a counselor.. justin kirk michael muhney",6'4 (193cm),174 lbs (79kg),Brown,Dark Blond,,Bachelor,"Kinesiology, Music Engineering Technology, Psychology","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6558342
"Challenge Chaser. This strawberry blond, blue-eyed veteran thrives on challenge and change. An Eagle Scout, skillfully managed his first major project as a teenager, setting the stage for a life full of leadership and outdoor adventures. He juggles roles from jujitsu competitor to devoted soccer coach, all while maintaining close ties with his brothers and a passion for family traditions. His life mantra of planning for the worst but hoping for the best makes him a grounded yet adventurous spirit.",5'11 (180cm),235 lbs (107kg),Blue,Brown,,Other,General Studies,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.656152
"As a person, may he have this dance?. a champion ballroom dancer, ’s competitive and dedicated nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors gravitate towards acting and music. he is a free spirit who is ready to try just about anything – but excellent luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey","6'1""",146 lbs (66kg),Brown,Dark Blond,,Bachelor,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6565518
"By nature, in general, determined environmentalist",6'1 (185cm),235 lbs (107kg),Brown,Brown,,Master,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6568651
"Outward Bounder. Armed with just a map and a compass, makes his mark on history by trekking remote landscapes. Standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. He did just that when he hiked thousands of miles through national forests to reach untouched summits. Whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”","6'1""",174 lbs (79kg),Blue,Brown,,Bachelor,"Dance, Management","American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.657254
Determined Environmentalist,5'10 (178cm),174 lbs (79kg),Brown,Dark Blond,,Master,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.657575
"As a person, determined environmentalist",5'8 (173cm),211,Blue,Dark Blond,,Master,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6578681
"For the most part, in general, primarily, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored equite inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.","6'1""",197 lbs (89kg),Blue,Dark Blond,,Bachelor,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.658379
"As a person, may he have this dance?. a champion ballroom dancer, ’s competitive and dedicated nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors favor acting and music. he is a free spirit who is ready to try just about anything – but outstanding luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey",5'11 (180cm),146 lbs (66kg),Blue,Dark Blond,,Bachelor,General Studies,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.658862
"Overall, overall, outward bounder. armed with just a map and a compass, makes his mark on history by trekking remote landscapes. standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. he did just that when he hiked thousands of miles through national forests to reach untouched summits. whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),235 lbs (107kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.659311
"By nature, overall, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored enotably inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.",6'1 (185cm),235 lbs (107kg),Blue,Dark Blond,,Other,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6598248
"Typically, outward bounder. armed with just a map and a compass, makes his mark on history by trekking remote landscapes. standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. he did just that when he hiked thousands of miles through national forests to reach untouched summits. whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),210,Blue,Brown,,Bachelor,Business Management,"American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.660296
"In general, characteristically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and adores hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",5'10 (178cm),235 lbs (107kg),Brown,Brown,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.660991
"Characteristically, determined environmentalist",5'8 (173cm),174 lbs (79kg),Blue,Dark Blond,,Master,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.661319
"A Flying Start. You can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 GPA and treasures hunting and fishing. His favorite way of staying fit? Playing baseball and basketball with his friends and family. This well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. Super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",6'1 (185cm),174 lbs (79kg),Blue,Brown,,Other,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6617038
"Vaughn. , Vaughn, is a caring and genuine individual. He has hazel eyes, brown hair and a charming smile. He has a unmatched devotion to his loved ones and delights in spending quality time with them. He is especially intelligent and was a collegiate athlete. He is emotionally intelligent and is especially easy to talk to. He is enthusiastic about tennis and is a natural outdoors man. Vaughn is calm, level headed, and loyal to his family and friends. , Vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",235 lbs (107kg),,Brown,,,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.662053
"Typically, challenge chaser. this strawberry blond, blue-eyed veteran thrives on challenge and change. an eagle scout, skillfully managed his first major project as a teenager, setting the stage for a life full of leadership and outdoor adventures. he juggles roles from jujitsu competitor to devoted soccer coach, all while maintaining close ties with his brothers and a passion for family traditions. his life mantra of planning for the worst but hoping for the best makes him a grounded yet adventurous spirit.",5'11 (180cm),146 lbs (66kg),Blue,Strawberry Blond,,Bachelor,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.662389
"Overall, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored enotably inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.",6'1 (185cm),214,Brown,Light Brown,,Bachelor,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.6628108
"As a person, may he have this dance?. a champion ballroom dancer, ’s competitive and driven nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors gravitate towards acting and music. he is a free spirit who is ready to try just about anything – but exceptional luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey",6'4 (193cm),146 lbs (66kg),Blue,Dark Blond,,Bachelor,General Studies,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.663312
"Typically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and is enthusiastic about hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",6'4 (193cm),235 lbs (107kg),Brown,Dark Blond,,Other,"Dance, Management","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.663828
"In general, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and appreciates hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",6'4 (193cm),220 lbs (100kg),Blue,Strawberry Blond,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.66429
"Challenge Chaser. This strawberry blond, blue-eyed veteran thrives on challenge and change. An Eagle Scout, skillfully managed his first major project as a teenager, setting the stage for a life full of leadership and outdoor adventures. He juggles roles from jujitsu competitor to devoted soccer coach, all while maintaining close ties with his brothers and a passion for family traditions. His life mantra of planning for the worst but hoping for the best makes him a grounded yet adventurous spirit.",6'4 (193cm),197 lbs (89kg),Brown,Strawberry Blond,,Bachelor,General Studies,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.664618
"A Flying Start. You can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 GPA and is enthusiastic about hunting and fishing. His favorite way of staying fit? Playing baseball and basketball with his friends and family. This well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. Super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",6'4 (193cm),220 lbs (100kg),Brown,Light Brown,,Master,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.665023
"Typically, overall, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and is enthusiastic about spending quality time with them. he is quite intelligent and was a collegiate athlete. he is emotionally intelligent and is quite easy to talk to. he adores tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!",6'4 (193cm),174 lbs (79kg),,Brown,,Other,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.665416
"Characteristically, characteristically, caring military man. this donor’s proudest moment came in the military, when he was inspecting an aircraft and caught a leak one minute before takeoff, potentially saving the pilots' lives. “i’ll never forget the handshake and ‘thank you’ that i received from both of those pilots,” he says. standing 6’ tall with dimples, blue eyes, and long curly hair, speaks with confidence and authority. helping people is his life's mission; he’s learning psychology in college and hopes to become a counselor.. justin kirk michael muhney",5'11 (180cm),164 lbs (74kg),Blue,Dark Blond,,Other,"Environmental Studies, Public Policy","American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.665921
"Outward Bounder. Armed with just a map and a compass, makes his mark on history by trekking remote landscapes. Standing at an even 6’, with deep-blue eyes, it’s easy to picture this donor forging his own path. He did just that when he hiked thousands of miles through national forests to reach untouched summits. Whether running a marathon (he finished one last year) or advancing his career as a programmer, lives by the motto that “the most difficult path is often the most rewarding.”",6' (183cm),235 lbs (107kg),Blue,Brown,,Bachelor,"Philosophy, Physics","American Indian or Alaska Native, Caucasian",Christian,,,synthetic,1731175358.666307
"For the most part, overall, vaughn. , vaughn, is a caring and genuine individual. he has hazel eyes, brown hair and a charming smile. he has a unmatched devotion to his loved ones and delights in spending quality time with them. he is exceptionally intelligent and was a collegiate athlete. he is emotionally intelligent and is exceptionally easy to talk to. he adores tennis and is a natural outdoors man. vaughn is calm, level headed, and loyal to his family and friends. , vaughn, is a outstanding individual and would make a great donor for your family!","6'1""",146 lbs (66kg),,Brown,,,,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.666683
"By nature, as a person, may he have this dance?. a champion ballroom dancer, ’s competitive and driven nature carries over to most areas of his life, including his marriage, educational pursuits, athletics, hobbies, and other artistic endeavors favor acting and music. he is a free spirit who is ready to try just about anything – but great luck trying to pressure him into something he doesn’t want to do. hiking and traveling have become more important to him recently, as his express yourself beautifully demonstrates.. james van der beek david morrissey",6' (183cm),146 lbs (66kg),Brown,Dark Blond,,Bachelor,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.667153
"In general, as a person, ready for anything. color us impressed. bryce, yellowstone, zion national park ? this avid outdoorsman has explored equite inch of them. need a website built, advice on the best surfing spots or help rebuilding a truck engine? he’s your guy. this wildly talented jack of all trades draws upon his family’s amazing mix of heritages (including native american and ashkenazi jewish) to cheerfully tackle virtually any challenge you can imagine. tall, fit, fun and outgoing, he’s into composing electronic and house music.","6'1""",235 lbs (107kg),Blue,Brown,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.667535
"Vaughn. , Vaughn, is a caring and genuine individual. He has hazel eyes, brown hair and a charming smile. He has a unmatched devotion to his loved ones and prefers spending quality time with them. He is notably intelligent and was a collegiate athlete. He is emotionally intelligent and is notably easy to talk to. He cherishes tennis and is a natural outdoors man. Vaughn is calm, level headed, and loyal to his family and friends. , Vaughn, is a outstanding individual and would make a great donor for your family!",6' (183cm),219,Blue,,,,,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.667862
"Characteristically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and is driven about hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.","6'1""",210,Blue,Brown,,Other,Aviation,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.668284
"Overall, characteristically, a flying start. you can find this blue-eyed, brown-haired donor taking his breaks from being an avionics technician in the great outdoors. graduated with a 3.5 gpa and treasures hunting and fishing. his favorite way of staying fit? playing baseball and basketball with his friends and family. this well-mannered outdoorsman never forgets his ”pleases” and “thank yous” and always helps where he can. super easygoing, it's not hard sharing a laugh with this independent spirit who paved his own path in life.",6' (183cm),220,Blue,Dark Blond,,Other,Business Management,"American Indian or Alaska Native, Caucasian",,,,synthetic,1731175358.66874
